year,type,use_case,stock_units,stock_lo,stock_hi
2025,T3,U2,581235.8958603498,253384.8301141237,1064971.1722136976
2025,T3,U3,64581.76620670552,16892.322007608247,177495.19536894964
2025,T4,U1,60263.33950358286,21774.73771451941,155186.31911073532
2025,T4,U2,144632.01480859888,65324.21314355823,290974.34833262867
2025,T4,U3,36158.00370214972,11613.193447743688,96991.44944420955
2025,T5,U3,161434.65473369835,70715.64806782006,293121.09640000283
2025,T5,U4,28488.468482417353,7125.2080747353975,80645.86882500908
2025,T6,U2,46058.73105942084,9852.845359422705,126138.59135773644
2025,T6,U3,149690.87594311775,54287.02254829899,308370.3731843613
2025,T6,U4,34544.048294565626,7815.305677522356,105208.50753424676
2025,T7,U1,381851.2360145319,188952.92401228903,669806.9616333294
2025,T7,U2,95462.80900363298,29069.68061727524,260480.48507962804
