month,type,units_central,units_p10,units_p90,value_gbp,net_mass_kg,estimator,confidence,import_units_central
2019-07-01,SATELLITE,0.0,0.0,0.0,12027454.725,1747353.534225,value_index_only,1.0,0.0
2019-07-01,T1,3597.645535714287,2878.116428571429,4578.82159090909,88834.20000000004,100734.07500000004,vpk_threshold,0.7905258962099372,12690.391071428572
2019-07-01,T2,2857.335,1818.3040909090907,4000.2690000000007,49527.0749999998,100006.72499999998,cn_rule,0.9,7914.325714285715
2019-07-01,T3,12228.181874999998,8695.596,16304.242499999998,3383759.3399999994,391301.81999999995,prior_allocation,0.4,12255.867000000002
2019-07-01,T4,2028.9724000000006,1383.3902727272728,3043.4586000000004,1315906.4100000001,152172.93000000002,prior_allocation,0.4,2033.5660800000005
2019-07-01,T5,-34.520416666666655,-17.753357142857144,-51.78062499999999,-213712.19999999998,-6213.675,vpk_threshold,0.7537852018797494,1.4895833333333333
2019-07-01,T6,-911.6678999999997,-455.83394999999985,-1899.308125,-3632178.2249999987,-227916.97500000003,vpk_threshold,0.7096028353965366,709.8897
2019-07-01,T7,6735.516666666666,4329.974999999999,10103.275,7704752.250000002,606196.5,cn_rule,0.9,7676.695
2019-07-01,UNALLOCATED,0.0,0.0,0.0,-3349994.7,-406125.525,vpk_threshold,0.0,0.0
2019-08-01,EDGE_AIRCRAFT,0.0,0.0,0.0,1289747.5500000003,565.5000000000001,vpk_threshold,0.9,0.0
2019-08-01,EDGE_MONITOR,0.0,0.0,0.0,-1729501.7999999993,5257.200000000053,cn_rule,1.0,0.0
2019-08-01,SATELLITE,0.0,0.0,0.0,7148156.924999999,573317.55,value_index_only,1.0,0.0
2019-08-01,T1,2733.6562499999995,2186.925,3479.1988636363635,405506.4000000001,76542.375,vpk_threshold,0.7872163754133227,6793.208035714286
2019-08-01,T2,-425.1557142857141,-270.5536363636364,-595.2179999999997,-286043.55,-14880.449999999997,cn_rule,0.8999999999999999,1945.0692857142858
2019-08-01,T3,11250.5810625,8000.413199999999,15000.77475,3045761.0819999995,360018.594,prior_allocation,0.39999999999999997,11383.566187499999
2019-08-01,T4,1866.7630800000002,1272.793009090909,2800.144620000001,1184462.6430000002,140007.231,prior_allocation,0.4,1888.8287599999999
2019-08-01,T5,-14.34333333333333,-7.376571428571428,-21.514999999999993,-85033.64999999998,-2581.8,vpk_threshold,0.7868367518099878,2.8599999999999994
2019-08-01,T6,1234.3617000000002,617.1808500000001,2571.586875,3667867.1249999995,308590.425,vpk_threshold,0.6972809716786124,1447.2197999999999
2019-08-01,T7,2364.494166666667,1520.0319642857141,3546.74125,6154625.1,212804.47499999998,cn_rule,0.9,3097.6616666666664
2019-08-01,UNALLOCATED,0.0,0.0,0.0,-6381457.875000001,-678203.1749999999,vpk_threshold,0.0,0.0
2019-09-01,EDGE_AIRCRAFT,0.0,0.0,0.0,-782313.6749999997,341.2500000000007,vpk_threshold,0.9,0.0
